minute,ambient_C,solar_input_W,electronics_power_W,net_heat_W,internal_C,margin_to_warning_C
0,20.0,0.0,0.45,0.45,20.0,35.0
1,20.157075146856133,0.0628300587424533,0.45,0.5293642847273095,20.075623469246757,34.92437653075324
2,20.31412337969448,0.1256493518777911,0.08,0.23075460560913022,20.108588412905206,34.891411587094794
3,20.471117789108824,0.1884471156435293,0.08,0.3066081026123312,20.152389570421253,34.84761042957875
4,20.628031474915325,0.2512125899661304,0.08,0.38128015886024325,20.206858164544144,34.793141835455856
5,20.784837550761715,0.3139350203046867,0.08,0.45477495569600995,20.27182601535786,34.72817398464214
6,20.941509148734138,0.3766036594936557,0.08,0.527096620901685,20.34712553262953,34.65287446737047
7,21.098019423960828,0.43920776958433144,0.08,0.5982492318297312,20.432589708605207,34.56741029139479
8,21.25434155921184,0.5017366236847366,0.08,0.6682368184854349,20.528052111245984,34.471947888754016
9,21.410448769494053,0.5641795077976207,0.08,0.7370633665605754,20.633346877897495,34.366653122102505
10,21.56631430664062,0.6265257226562475,0.08,0.8047328204186818,20.748308709385878,34.25169129061412
11,21.721911463894152,0.6887645855576606,0.08,0.8712490860322157,20.87277286453334,34.12722713546666
12,21.87721358048277,0.7508854321931081,0.08,0.9366160338719957,21.00657515508648,33.99342484491352
13,22.032194046188295,0.8128776184753181,0.08,1.0008375017491933,21.14955194105065,33.850448058949354
14,22.186826305905768,0.8747305223623079,0.08,1.0639172976102151,21.301540126423536,33.69845987357647
15,22.34108386419354,0.9364335456774155,0.08,1.1258592022847844,21.462377155321363,33.53762284467864
16,22.494940289813112,0.9979761159252447,0.08,1.1866669721875343,21.63190100849101,33.36809899150899
17,22.64836922025801,1.0593476881032051,0.08,1.246344341973416,21.8099502002015,33.1900497997985
18,22.801344366270865,1.120537746508346,0.08,1.3048950271472266,21.996363775508247,33.00363622449176
19,22.953839516347916,1.1815358065391666,0.08,1.3623227266275528,22.19098130788361,32.80901869211639
20,23.10582854123025,1.2423314164920995,0.08,1.41863112526543,22.393642897207243,32.60635710279276
21,23.25728539838089,1.3029141593523563,0.08,1.4738238963180035,22.604189168109816,32.39581083189019
22,23.40818413644707,1.3632736545788284,0.08,1.5279047038774867,22.82246126866374,32.177538731336256
23,23.55849889970685,1.4233995598827407,0.08,1.5808772052556999,23.048300869414554,31.951699130585446
24,23.70820393249937,1.4832815729997475,0.08,1.632745053324465,23.28155016274662,31.71844983725338
25,23.85727358363794,1.5429094334551756,0.08,1.683511898812157,23.522051862576927,31.477948137423073
26,24.005682310805252,1.6022729243221006,0.08,1.7331813925566613,23.769649204370737,31.230350795629263
27,24.153404684929917,1.6613618739719662,0.08,1.781757187715038,24.024185945472883,30.975814054527117
28,24.300415394543602,1.7201661578174412,0.08,1.8292429419301486,24.285506365748617,30.714493634251383
29,24.446689250118034,1.7786757000472138,0.08,1.8756423194545209,24.553455268527834,30.446544731472166
30,24.592201188381075,1.8368804753524308,0.45,2.2909589932317194,24.880735124703794,30.119264875296206
31,24.736926276611207,1.8947705106444825,0.45,2.329632737161053,25.213539801441087,29.786460198558913
32,24.880839716909602,1.9523358867638407,0.08,1.9973148252342108,25.49887049076026,29.50112950923974
33,25.023916850449137,2.009566740179655,0.08,2.039571620146905,25.790237865066963,29.209762134933037
34,25.16613316169954,2.0664532646798164,0.08,2.0807580327464037,26.087489012602163,28.912510987397837
35,25.307464282628015,2.122985713051206,0.08,2.120877846738138,26.39047156213618,28.60952843786382
36,25.44788599687456,2.1791543987498243,0.08,2.1599348655643906,26.699033685788237,28.300966314211763
37,25.587374243901337,2.2349496975605345,0.08,2.197932914204019,27.013024102103095,27.986975897896905
38,25.7259051231153,2.29036204924612,0.08,2.2348758409316156,27.33229207937904,27.66770792062096
39,25.863454897963457,2.3453819591853833,0.08,2.2707675190363745,27.65668743924138,27.34331256075862
40,26.0,2.3999999999999995,0.08,2.3056118485009067,27.986060560455797,27.013939439544203
41,26.135517032924625,2.45420681316985,0.08,2.3394127576402526,28.320262382975834,26.679737617024166
42,26.269982776591384,2.507993110636554,0.08,2.372174204701349,28.659144412218883,26.340855587781117
43,26.403374190987336,2.561349676394935,0.08,2.4039001794231933,29.002558723565052,25.997441276434948
44,26.535668420180322,2.6142673680721296,0.08,2.4345947045579477,29.35035796707333,25.64964203292667
45,26.666842796235226,2.6667371184940905,0.08,2.4642618373532374,29.702395372409505,25.297604627590495
46,26.796874843097996,2.7187499372391977,0.08,2.492905670995881,30.058524753980347,24.941475246019653
47,26.925742280446805,2.7702969121787215,0.08,2.520530336017296,30.418600516268533,24.581399483731467
48,27.053423027509677,2.821369211003871,0.08,2.5471400016608334,30.78247765936294,24.21752234063706
49,27.17989520684791,2.871958082739163,0.08,2.572738877211265,31.150011784678835,23.849988215321165
50,27.30513714810465,2.922054859241859,0.08,2.5973312132866817,31.521059100862647,23.478940899137353
51,27.42912739171801,2.971650956687203,0.08,2.6209213030930307,31.895476429875938,23.104523570124062
52,27.55184469259805,3.02073787703922,0.08,2.6435134836415477,32.273121213253305,22.726878786746695
53,27.673268023767015,3.0693072095068064,0.08,2.6651121369293023,32.65385151852892,22.346148481471083
54,27.793376579962203,3.1173506319848814,0.08,2.6857216910831223,33.0375260458265,21.962473954173497
55,27.912149781200824,3.1648599124803303,0.08,2.705346621467101,33.424004134607515,21.575995865392485
56,28.0295672763063,3.2118269105225195,0.08,2.7239914517539705,33.81314577057237,21.18685422942763
57,28.1456089463953,3.25824357855812,0.08,2.7416607549605336,34.20481159270959,20.79518840729041
58,28.260254908325045,3.3041019633300186,0.08,2.758359154447435,34.598862900487795,20.401137099512205
59,28.37348551810016,3.3493942072400644,0.08,2.7740913248834715,34.995161661185435,20.004838338814565
60,28.48528137423857,3.394112549695428,0.45,3.158861993174706,35.44642766021039,19.55357233978961
61,28.59562332109585,3.43824932843834,0.45,3.167112029584178,35.89887223586527,19.10112776413473
62,28.704492452147452,3.4817969808589804,0.08,2.8044938457307893,36.29951421382681,18.70048578617319
63,28.811870113228228,3.5247480452912905,0.08,2.816574982070387,36.701882068408295,18.298117931591705
64,28.91773790572873,3.567095162291492,0.08,2.827711566219959,37.10584086358258,17.89415913641742
65,29.022077689747725,3.608831075899091,0.08,2.837908636548054,37.511256383089446,17.488743616910554
66,29.124871587200374,3.6499486348801486,0.08,2.847171287944457,37.91799513851008,17.08200486148992
67,29.226101984881517,3.6904407939526056,0.08,2.85550467251802,38.325924377441225,16.674075622558775
68,29.325751537483647,3.7303006149934594,0.08,2.8629140002610827,38.73491209176424,16.265087908235763
69,29.423803170568938,3.769521268227575,0.08,2.8694045396807013,39.144827026004336,15.855172973995664
70,29.520240083494823,3.808096033397929,0.08,2.8749816183969275,39.555538685775325,15.444461314224675
71,29.61504575229273,3.846018300917091,0.08,2.8796506237083968,39.966917346305095,15.033082653694905
72,29.70820393249937,3.8832815729997474,0.08,2.8834170031254605,40.3788340610373,14.621165938962697
73,29.79969866194015,3.9198794647760584,0.08,2.886286264871095,40.7911606703046,14.208839329695401
74,29.88951426346419,3.955805705385675,0.08,2.8882639783498423,41.20376981006886,13.796230189931137
75,29.977635347630542,3.991054139052217,0.08,2.8893557745850256,41.616534920723865,13.383465079276135
76,30.064046815345087,4.025618726138035,0.08,2.889567346624479,42.029330255955934,12.970669744044066
77,30.148733860447678,4.059493544179071,0.08,2.8889044499150445,42.442030891658085,12.557969108341915
78,30.231681972249106,4.092672788899642,0.08,2.8873729026460655,42.854512734893234,12.145487265106766
79,30.312876938017432,4.125150775206973,0.08,2.884978586062152,43.266652532902114,11.733347467097886
80,30.392304845413264,4.156921938165305,0.08,2.881727444745426,43.678327882151464,11.321672117848536
81,30.469952084873565,4.1879808339494256,0.08,2.8776254868675415,44.08941723741825,10.910582762581747
82,30.545805351943585,4.218322140777434,0.08,2.8726787844116792,44.49979992090564,10.500200079094363
83,30.6198516495565,4.2479406598226,0.08,2.8668934733647964,44.909356131386325,10.090643868613675
84,30.69207829026041,4.276831316104166,0.08,2.8602757538803854,45.317966953369236,9.682033046630764
85,30.76247289839226,4.304989159356904,0.08,2.852831890411959,45.72551436628523,9.274485633714768
86,30.831023412198327,4.3324093648793305,0.08,2.844568211817551,46.13188125368774,8.868118746312263
87,30.897718085900976,4.3590872343603895,0.08,2.8354911114354673,46.536951412464234,8.463048587535766
88,30.96254549171121,4.385018196684484,0.08,2.825607047131535,46.940609562054455,8.059390437945545
89,31.02549452178678,4.410197808714711,0.08,2.814922541318114,47.34274135367133,7.657258646328671
90,31.08655439013544,4.4346217560541765,0.45,3.1734441809451357,47.796090522377774,7.203909477622226
91,31.14571463446309,4.4582858537852355,0.45,3.155614707688953,48.2468926234762,6.7531073765238006
92,31.20296511796642,4.4811860471865685,0.08,2.7670884150276445,48.64219096848015,6.357809031519849
93,31.25829603106981,4.503318412427924,0.08,2.753434734805783,49.03553878773812,5.964461212261881
94,31.311697893106142,4.524679157242456,0.08,2.7390116946496166,49.42682617268807,5.573173827311933
95,31.363161553941268,4.545264621576506,0.08,2.7238262406557907,49.81594420706747,5.184055792932533
96,31.412678195541844,4.565071278216736,0.08,2.707885382266671,50.20278497596271,4.797215024037293
97,31.46023933348624,4.584095733394496,0.08,2.6911961920811835,50.587241574831445,4.412758425168555
98,31.505836818418317,4.602334727367326,0.08,2.6737658056396287,50.96920811849425,4.030791881505749
99,31.54946283744377,4.619785134977507,0.08,2.6556014211827192,51.34857975009178,3.6514202499082202
100,31.59110991546882,4.636443966187528,0.08,2.6367102993851113,51.72525265000394,3.274747349996062
101,31.630770916481055,4.652308366592421,0.08,2.6170997630636963,52.099124044727326,2.9008759552726744
102,31.668439044772118,4.6673756179088475,0.08,2.596777196860931,52.47009221570746,2.52990778429254
103,31.704107846102154,4.681643138440861,0.08,2.5757500469034604,52.83805650812224,2.161943491877757
104,31.73777120880567,4.695108483522267,0.08,2.554025820436312,53.202917339613144,1.797082660386856
105,31.769423364838765,4.707769345935506,0.08,2.53161208543294,53.56457620896071,1.435423791039291
106,31.799058890767455,4.719623556306981,0.08,2.508516470181376,53.922935704700905,1.0770642952990954
107,31.826672708696933,4.730669083478773,0.08,2.484746662846776,54.27789951367902,0.7221004863209828
108,31.85226008714165,4.740904034856661,0.08,2.4603104110106226,54.629372429537675,0.3706275704623252
109,31.875816641836042,4.750326656734417,0.08,2.435215521186877,54.9772603611358,0.02273963886420205
110,31.897338336485724,4.758935334594289,0.08,2.4094698583153344,55.32147034089513,-0.32147034089513227
111,31.916821483459117,4.766728593383646,0.08,2.3830813452324864,55.6619105330712,-0.6619105330712003
112,31.93426274441928,4.773705097767712,0.08,2.356057962120141,55.998490241945504,-0.998490241945504
113,31.94965913089594,4.779863652358376,0.08,2.328407745932106,56.3311199199358,-1.3311199199358015
114,31.963008004797537,4.785203201919014,0.08,2.3001387897991967,56.6597111756214,-1.6597111756214034
115,31.97430707886324,4.789722831545297,0.08,2.271259242412859,56.98417678168038,-1.9841767816803824
116,31.983554417054886,4.793421766821954,0.08,2.241777307387691,57.30443068273577,-2.30443068273577
117,31.990748434888673,4.79629937395547,0.08,2.2117012426031435,57.62038800310765,-2.6203880031076494
118,31.995887899706688,4.798355159882675,0.08,2.181039359524679,57.93196505446832,-2.9319650544683213
119,31.998971930888082,4.799588772355233,0.08,2.1498000225046816,58.23907934339756,-3.239079343397563
120,32.0,4.8,0.45,2.4879916480634146,58.59450672169233,-3.5945067216923334
121,31.998971930888082,4.799588772355233,0.45,2.4500587943758383,58.94451512088888,-3.9445151208888802
122,31.995887899706688,4.798355159882675,0.08,2.0416575576529707,59.23618048626788,-4.236180486267877
123,31.990748434888673,4.79629937395547,0.08,2.0083591580208164,59.52308893741371,-4.523088937413711
124,31.983554417054886,4.793421766821954,0.08,1.974523396257867,59.80516370830769,-4.805163708307688
125,31.97430707886324,4.789722831545297,0.08,1.9401589758143025,60.08232927628116,-5.082329276281158
126,31.963008004797537,4.785203201919014,0.08,1.9052746470260016,60.354511368713446,-5.354511368713446
127,31.94965913089594,4.779863652358376,0.08,1.8698792062723228,60.62163696960949,-5.62163696960949
128,31.93426274441928,4.773705097767712,0.08,1.8339814951161109,60.88363432605465,-5.883634326054647
129,31.916821483459117,4.766728593383646,0.08,1.797590399426222,61.14043295454411,-6.14043295454411
130,31.897338336485724,4.75893533459429,0.08,1.7607148484828814,61.391963647184525,-6.391963647184525
131,31.875816641836042,4.750326656734417,0.08,1.7233638140661562,61.6381584777654,-6.638158477765401
132,31.85226008714165,4.74090403485666,0.08,1.6855463095278447,61.87895080769795,-6.878950807697947
133,31.826672708696933,4.730669083478773,0.08,1.6472713888470873,62.11427529181896,-7.114275291818963
134,31.799058890767455,4.719623556306982,0.08,1.6085481456699813,62.34406788405753,-7.34406788405753
135,31.769423364838765,4.707769345935506,0.08,1.5693857123335309,62.56826584296232,-7.568265842962319
136,31.73777120880567,4.695108483522267,0.08,1.5297932588741987,62.7868077370872,-7.7868077370872015
137,31.704107846102154,4.681643138440861,0.08,1.4897799920213823,62.99963345023311,-7.999633450233112
